stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\SAM-Tech\source\repos\Project4 - Copy\Debug\allegro5.cfg r
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.26083] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.26153] added dtor for bitmap 091B9BD8, func 796B17D5
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.28910] opening graywins.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.28941] opening graywins.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.28961] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.28968] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.28974] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.28979] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.28986] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.28992] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.28997] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.29002] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.29009] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.29016] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.29022] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.29027] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.29033] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.29100] added dtor for bitmap 091BA630, func 796B17D5
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.31356] opening whitewins.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.31384] opening whitewins.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.31403] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.31412] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.31420] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.31427] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.31435] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.31441] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.31447] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.31452] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.31457] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.31461] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.31466] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.31472] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.31479] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.31552] added dtor for bitmap 091B9D80, func 796B17D5
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.33813] opening tut1.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.33837] opening tut1.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33861] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33869] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33875] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33881] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33887] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33894] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33900] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33909] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33916] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.33922] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.33927] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.33932] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.33938] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.34013] added dtor for bitmap 091B9F28, func 796B17D5
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.36939] opening tut2.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.36969] opening tut2.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.36989] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.36998] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.37005] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.37013] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.37019] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.37025] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.37031] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.37037] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.37044] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.37050] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.37056] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.37061] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.37069] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.37144] added dtor for bitmap 091AE028, func 796B17D5
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.39932] opening tut3.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.39958] opening tut3.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.39981] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.39990] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.39998] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.40006] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.40013] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.40020] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.40026] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.40032] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.40039] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.40046] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.40053] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.40061] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.40069] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.40157] added dtor for bitmap 091BA0D0, func 796B17D5
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.43075] opening tut4.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.43112] opening tut4.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.43136] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.43147] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.43155] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.43163] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.43171] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.43177] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.43184] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.43190] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.43196] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.43201] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.43209] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.43215] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.43222] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.43290] added dtor for bitmap 091BA278, func 796B17D5
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.46011] opening tut5.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.46036] opening tut5.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.46053] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.46060] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.46066] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.46072] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.46077] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.46083] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.46088] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.46094] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.46101] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.46106] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.46110] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.46119] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.46127] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.46202] added dtor for bitmap 091BA420, func 796B17D5
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.48877] opening tut6.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.48904] opening tut6.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.48920] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.48932] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.48939] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.48944] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.48950] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.48963] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.48970] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.48977] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.48983] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.48988] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.48996] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.49003] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.49008] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.49081] added dtor for bitmap 091B0780, func 796B17D5
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.51941] opening tut7.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.51975] opening tut7.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.51995] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.52003] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.52009] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.52015] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.52021] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.52027] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.52032] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.52038] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.52044] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.52049] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.52055] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.52061] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.52067] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.52138] added dtor for bitmap 091B0928, func 796B17D5
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.54698] opening tut8.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.54725] opening tut8.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.54741] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.54748] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.54755] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.54762] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.54768] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.54775] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.54784] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.54791] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.54798] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.54806] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.54812] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.54818] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.54823] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.54897] added dtor for bitmap 091B1408, func 796B17D5
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.57284] opening name.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.57312] opening name.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.57334] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.57342] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.57349] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.57356] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.57365] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.57373] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.57380] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.57386] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.57392] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.57397] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.57402] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.57409] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.57415] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.57479] added dtor for bitmap 091B15B0, func 796B17D5
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.59230] opening gray.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.59258] opening gray.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.59275] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.59282] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.59288] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.59293] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.59299] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.59306] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.59313] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.59318] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.59323] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.59329] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.59334] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.59340] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.59345] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.59363] added dtor for bitmap 091AAC90, func 796B17D5
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.59424] opening white.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.59447] opening white.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.59464] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.59472] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.59480] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.59487] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.59493] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.59500] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.59507] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.59514] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.59520] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.59526] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.59532] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.59538] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.59543] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.59560] added dtor for bitmap 091AC168, func 796B17D5
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.59585] opening win2.wav rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.59603] opening win2.wav rb
wav      I                wav.c:124  wav_open                         [   0.59616] Ignoring chunk: LIST
wav      E                wav.c:121  wav_open                         [   0.59623] Bad RIFF type.
dtor     D               dtor.c:196  _al_register_destructor          [   0.59643] added dtor for sample 035B31E8, func 77AB10A0
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.59659] opening card down.wav rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.59672] opening card down.wav rb
wav      I                wav.c:124  wav_open                         [   0.59682] Ignoring chunk: LIST
wav      E                wav.c:121  wav_open                         [   0.59689] Bad RIFF type.
dtor     D               dtor.c:196  _al_register_destructor          [   0.59700] added dtor for sample 035B3788, func 77AB10A0
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.59709] opening cardslide.wav rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.59722] opening cardslide.wav rb
wav      I                wav.c:124  wav_open                         [   0.59733] Ignoring chunk: LIST
wav      E                wav.c:121  wav_open                         [   0.59739] Bad RIFF type.
dtor     D               dtor.c:196  _al_register_destructor          [   0.59749] added dtor for sample 035B3C08, func 77AB10A0
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.59759] opening chess.wav rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.59772] opening chess.wav rb
wav      I                wav.c:124  wav_open                         [   0.59782] Ignoring chunk: LIST
wav      E                wav.c:121  wav_open                         [   0.59789] Bad RIFF type.
dtor     D               dtor.c:196  _al_register_destructor          [   0.59800] added dtor for sample 035B3F20, func 77AB10A0
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.59811] opening buttons.wav rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.59824] opening buttons.wav rb
wav      I                wav.c:124  wav_open                         [   0.59834] Ignoring chunk: LIST
wav      E                wav.c:121  wav_open                         [   0.59841] Bad RIFF type.
dtor     D               dtor.c:196  _al_register_destructor          [   0.59848] added dtor for sample 035B3980, func 77AB10A0
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.59858] opening theone.wav rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.59870] opening theone.wav rb
wav      I                wav.c:124  wav_open                         [   0.59880] Ignoring chunk: LIST
wav      E                wav.c:121  wav_open                         [   0.59887] Bad RIFF type.
dtor     D               dtor.c:196  _al_register_destructor          [   0.59896] added dtor for sample 035B3C98, func 77AB10A0
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.59905] opening fall.wav rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.59917] opening fall.wav rb
wav      I                wav.c:124  wav_open                         [   0.59928] Ignoring chunk: LIST
wav      E                wav.c:121  wav_open                         [   0.59934] Bad RIFF type.
dtor     D               dtor.c:196  _al_register_destructor          [   0.59945] added dtor for sample 035B3C50, func 77AB10A0
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.59956] opening mousetrap.wav rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.59968] opening mousetrap.wav rb
wav      I                wav.c:124  wav_open                         [   0.59978] Ignoring chunk: LIST
wav      E                wav.c:121  wav_open                         [   0.59985] Bad RIFF type.
dtor     D               dtor.c:196  _al_register_destructor          [   0.59997] added dtor for sample 035B3E90, func 77AB10A0
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.60008] opening invalid.wav rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.60020] opening invalid.wav rb
wav      I                wav.c:124  wav_open                         [   0.60030] Ignoring chunk: LIST
wav      E                wav.c:121  wav_open                         [   0.60036] Bad RIFF type.
dtor     D               dtor.c:196  _al_register_destructor          [   0.60053] added dtor for sample 035B3A10, func 77AB10A0
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.60068] opening music.opus rb
acodec   I               opus.c:379  _al_load_ogg_opus_audio_stream   [   0.60082] Loading stream music.opus.
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.60090] opening music.opus rb
acodec   D               opus.c:438  _al_load_ogg_opus_audio_stream_f [   0.60132] channels 2
acodec   D               opus.c:439  _al_load_ogg_opus_audio_stream_f [   0.60139] word_size 2
acodec   D               opus.c:440  _al_load_ogg_opus_audio_stream_f [   0.60147] rate 48000
acodec   D               opus.c:441  _al_load_ogg_opus_audio_stream_f [   0.60155] total_samples 6003566
acodec   D               opus.c:442  _al_load_ogg_opus_audio_stream_f [   0.60161] total_size 24014264
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.60215] opening mysha.png rb
audio    D         kcm_stream.c:688  _al_kcm_feed_stream              [   0.60243] Stream feeder thread started.
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.60251] opening mysha.png rb
dtor     D               dtor.c:196  _al_register_destructor          [   0.60259] added dtor for queue 091B84D0, func 796B1712
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.60273] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.60280] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.60286] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.60293] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.60299] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.60304] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.60310] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.60317] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.60323] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.60329] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.60335] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.60342] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.60347] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.60386] added dtor for bitmap 091ABE18, func 796B17D5
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.63920] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.63942] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.63951] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.63958] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.63965] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.63972] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.63980] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.63987] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.63995] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.64002] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.64007] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.64012] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.64018] Chose bitmap format 9
font     D                ttf.c:243  alloc_glyph_region               [   0.64051] Glyph 51: 26x25 (28x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.64059] Locking glyph region: 091ABFC0 0 0 28 28
font     D                ttf.c:167  unlock_current_page              [   0.64106] Unlocking page: 091ABFC0
font     D                ttf.c:243  alloc_glyph_region               [   0.64120] Glyph 53: 28x25 (28x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.64126] Locking glyph region: 091ABFC0 28 0 28 28
font     D                ttf.c:167  unlock_current_page              [   0.64136] Unlocking page: 091ABFC0
font     D                ttf.c:243  alloc_glyph_region               [   0.64147] Glyph 40: 26x27 (28x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.64155] Locking glyph region: 091ABFC0 56 0 28 28
font     D                ttf.c:167  unlock_current_page              [   0.64165] Unlocking page: 091ABFC0
font     D                ttf.c:243  alloc_glyph_region               [   0.64176] Glyph 54: 25x25 (28x28)
font     D                ttf.c:287  alloc_glyph_region               [   0.64182] Locking glyph region: 091ABFC0 84 0 28 28
font     D                ttf.c:167  unlock_current_page              [   0.64190] Unlocking page: 091ABFC0
font     D                ttf.c:471  cache_glyph                      [   0.64197] Glyph 3 has zero size.
font     D                ttf.c:243  alloc_glyph_region               [   0.64205] Glyph 49: 29x25 (32x28)
